"DisplayName","UserPrincipalName","Department"
"Cameron Chen 28","cameron.chen28@omniverse689.onmicrosoft.com","IT"
"Cameron Chen 3","cameron.chen3@omniverse689.onmicrosoft.com","Engineering"
"Cameron Chen 53","cameron.chen53@omniverse689.onmicrosoft.com","Security"
"Casey Brooks","casey.brooks@Omniverse689.onmicrosoft.com","Finance"
"Casey Davis 104","casey.davis104@omniverse689.onmicrosoft.com","HR"
"Casey Davis 129","casey.davis129@omniverse689.onmicrosoft.com","Legal"
"Casey Davis 154","casey.davis154@omniverse689.onmicrosoft.com","Marketing"
"Casey Davis 179","casey.davis179@omniverse689.onmicrosoft.com","Operations"
"Casey Davis 29","casey.davis29@omniverse689.onmicrosoft.com","IT"
"Casey Davis 4","casey.davis4@omniverse689.onmicrosoft.com","Engineering"
"Casey Davis 54","casey.davis54@omniverse689.onmicrosoft.com","Security"
"Charlie Walsh 123","charlie.walsh123@omniverse689.onmicrosoft.com","HR"
"Charlie Walsh 148","charlie.walsh148@omniverse689.onmicrosoft.com","Legal"
"Charlie Walsh 173","charlie.walsh173@omniverse689.onmicrosoft.com","Marketing"
"Charlie Walsh 198","charlie.walsh198@omniverse689.onmicrosoft.com","Operations"
"Charlie Walsh 23","charlie.walsh23@omniverse689.onmicrosoft.com","Engineering"
"Charlie Walsh 48","charlie.walsh48@omniverse689.onmicrosoft.com","IT"
"Charlie Walsh 73","charlie.walsh73@omniverse689.onmicrosoft.com","Security"
"Charlie Walsh 98","charlie.walsh98@omniverse689.onmicrosoft.com","Finance"
"Dakota Evans 105","dakota.evans105@omniverse689.onmicrosoft.com","HR"
"Dakota Evans 130","dakota.evans130@omniverse689.onmicrosoft.com","Legal"
"Dakota Evans 155","dakota.evans155@omniverse689.onmicrosoft.com","Marketing"
"Dakota Evans 180","dakota.evans180@omniverse689.onmicrosoft.com","Operations"
"Dakota Evans 30","dakota.evans30@omniverse689.onmicrosoft.com","IT"
"Dakota Evans 5","dakota.evans5@omniverse689.onmicrosoft.com","Engineering"
"Dakota Evans 55","dakota.evans55@omniverse689.onmicrosoft.com","Security"
"Drew Foster 106","drew.foster106@omniverse689.onmicrosoft.com","HR"
"Drew Foster 131","drew.foster131@omniverse689.onmicrosoft.com","Legal"
"Drew Foster 156","drew.foster156@omniverse689.onmicrosoft.com","Marketing"
"Drew Foster 181","drew.foster181@omniverse689.onmicrosoft.com","Operations"
"Drew Foster 31","drew.foster31@omniverse689.onmicrosoft.com","IT"
"Drew Foster 56","drew.foster56@omniverse689.onmicrosoft.com","Security"
"Drew Foster 6","drew.foster6@omniverse689.onmicrosoft.com","Engineering"
"Drew Foster 81","drew.foster81@omniverse689.onmicrosoft.com","Finance"
"Dylan Xavier 124","dylan.xavier124@omniverse689.onmicrosoft.com","HR"
"Dylan Xavier 149","dylan.xavier149@omniverse689.onmicrosoft.com","Legal"
"Dylan Xavier 174","dylan.xavier174@omniverse689.onmicrosoft.com","Marketing"
"Dylan Xavier 199","dylan.xavier199@omniverse689.onmicrosoft.com","Operations"
"Dylan Xavier 24","dylan.xavier24@omniverse689.onmicrosoft.com","Engineering"
"Dylan Xavier 49","dylan.xavier49@omniverse689.onmicrosoft.com","IT"
"Dylan Xavier 74","dylan.xavier74@omniverse689.onmicrosoft.com","Security"
"Dylan Xavier 99","dylan.xavier99@omniverse689.onmicrosoft.com","Finance"
"Elliott Garcia 107","elliott.garcia107@omniverse689.onmicrosoft.com","HR"
"Elliott Garcia 132","elliott.garcia132@omniverse689.onmicrosoft.com","Legal"
"Elliott Garcia 157","elliott.garcia157@omniverse689.onmicrosoft.com","Marketing"
"Elliott Garcia 182","elliott.garcia182@omniverse689.onmicrosoft.com","Operations"
"Elliott Garcia 32","elliott.garcia32@omniverse689.onmicrosoft.com","IT"
"Elliott Garcia 57","elliott.garcia57@omniverse689.onmicrosoft.com","Security"
"Elliott Garcia 7","elliott.garcia7@omniverse689.onmicrosoft.com","Engineering"
"Elliott Garcia 82","elliott.garcia82@omniverse689.onmicrosoft.com","Finance"
"Emerson Yang 100","emerson.yang100@omniverse689.onmicrosoft.com","Finance"
"Emerson Yang 125","emerson.yang125@omniverse689.onmicrosoft.com","HR"
"Emerson Yang 150","emerson.yang150@omniverse689.onmicrosoft.com","Legal"
"Emerson Yang 175","emerson.yang175@omniverse689.onmicrosoft.com","Marketing"
"Emerson Yang 200","emerson.yang200@omniverse689.onmicrosoft.com","Operations"
"Emerson Yang 25","emerson.yang25@omniverse689.onmicrosoft.com","Engineering"
"Emerson Yang 50","emerson.yang50@omniverse689.onmicrosoft.com","IT"
"Emerson Yang 75","emerson.yang75@omniverse689.onmicrosoft.com","Security"
"Finley Harris 108","finley.harris108@omniverse689.onmicrosoft.com","HR"
"Finley Harris 133","finley.harris133@omniverse689.onmicrosoft.com","Legal"
"Finley Harris 158","finley.harris158@omniverse689.onmicrosoft.com","Marketing"
"Finley Harris 183","finley.harris183@omniverse689.onmicrosoft.com","Operations"
"Finley Harris 33","finley.harris33@omniverse689.onmicrosoft.com","IT"
"Finley Harris 58","finley.harris58@omniverse689.onmicrosoft.com","Security"
"Finley Harris 8","finley.harris8@omniverse689.onmicrosoft.com","Engineering"
"Finley Harris 83","finley.harris83@omniverse689.onmicrosoft.com","Finance"
"Harper Irving 109","harper.irving109@omniverse689.onmicrosoft.com","HR"
"Harper Irving 134","harper.irving134@omniverse689.onmicrosoft.com","Legal"
"Harper Irving 159","harper.irving159@omniverse689.onmicrosoft.com","Marketing"
"Harper Irving 184","harper.irving184@omniverse689.onmicrosoft.com","Operations"
"Harper Irving 34","harper.irving34@omniverse689.onmicrosoft.com","IT"
"Harper Irving 59","harper.irving59@omniverse689.onmicrosoft.com","Security"
"Harper Irving 84","harper.irving84@omniverse689.onmicrosoft.com","Finance"
"Harper Irving 9","harper.irving9@omniverse689.onmicrosoft.com","Engineering"
"Jordan Jones 10","jordan.jones10@omniverse689.onmicrosoft.com","Engineering"
"Jordan Jones 110","jordan.jones110@omniverse689.onmicrosoft.com","HR"
"Jordan Jones 135","jordan.jones135@omniverse689.onmicrosoft.com","Legal"
"Jordan Jones 160","jordan.jones160@omniverse689.onmicrosoft.com","Marketing"
"Jordan Jones 185","jordan.jones185@omniverse689.onmicrosoft.com","Operations"
"Jordan Jones 35","jordan.jones35@omniverse689.onmicrosoft.com","IT"
"Jordan Jones 60","jordan.jones60@omniverse689.onmicrosoft.com","Security"
"Jordan Jones 85","jordan.jones85@omniverse689.onmicrosoft.com","Finance"
"Jordan Miles","jordan.miles@Omniverse689.onmicrosoft.com","IT"
"Kennedy Kim 11","kennedy.kim11@omniverse689.onmicrosoft.com","Engineering"
"Kennedy Kim 111","kennedy.kim111@omniverse689.onmicrosoft.com","HR"
"Kennedy Kim 136","kennedy.kim136@omniverse689.onmicrosoft.com","Legal"
"Kennedy Kim 161","kennedy.kim161@omniverse689.onmicrosoft.com","Marketing"
"Kennedy Kim 186","kennedy.kim186@omniverse689.onmicrosoft.com","Operations"
"Kennedy Kim 36","kennedy.kim36@omniverse689.onmicrosoft.com","IT"
"Kennedy Kim 61","kennedy.kim61@omniverse689.onmicrosoft.com","Security"
"Kennedy Kim 86","kennedy.kim86@omniverse689.onmicrosoft.com","Finance"
"Lane Lewis 112","lane.lewis112@omniverse689.onmicrosoft.com","HR"
"Lane Lewis 12","lane.lewis12@omniverse689.onmicrosoft.com","Engineering"
"Lane Lewis 137","lane.lewis137@omniverse689.onmicrosoft.com","Legal"
"Lane Lewis 162","lane.lewis162@omniverse689.onmicrosoft.com","Marketing"
"Lane Lewis 187","lane.lewis187@omniverse689.onmicrosoft.com","Operations"
"Lane Lewis 37","lane.lewis37@omniverse689.onmicrosoft.com","IT"
"Lane Lewis 62","lane.lewis62@omniverse689.onmicrosoft.com","Security"
"Lane Lewis 87","lane.lewis87@omniverse689.onmicrosoft.com","Finance"
"Morgan Blake","morgan.blake@Omniverse689.onmicrosoft.com","Security"
"Morgan Moore 113","morgan.moore113@omniverse689.onmicrosoft.com","HR"
"Morgan Moore 13","morgan.moore13@omniverse689.onmicrosoft.com","Engineering"
"Morgan Moore 138","morgan.moore138@omniverse689.onmicrosoft.com","Legal"
"Morgan Moore 163","morgan.moore163@omniverse689.onmicrosoft.com","Marketing"
"Morgan Moore 188","morgan.moore188@omniverse689.onmicrosoft.com","Operations"
"Morgan Moore 38","morgan.moore38@omniverse689.onmicrosoft.com","IT"
"Morgan Moore 63","morgan.moore63@omniverse689.onmicrosoft.com","Security"
"Morgan Moore 88","morgan.moore88@omniverse689.onmicrosoft.com","Finance"
"Parker Nelson 114","parker.nelson114@omniverse689.onmicrosoft.com","HR"
"Parker Nelson 139","parker.nelson139@omniverse689.onmicrosoft.com","Legal"
"Parker Nelson 14","parker.nelson14@omniverse689.onmicrosoft.com","Engineering"
"Parker Nelson 164","parker.nelson164@omniverse689.onmicrosoft.com","Marketing"
"Parker Nelson 189","parker.nelson189@omniverse689.onmicrosoft.com","Operations"
"Parker Nelson 39","parker.nelson39@omniverse689.onmicrosoft.com","IT"
"Parker Nelson 64","parker.nelson64@omniverse689.onmicrosoft.com","Security"
"Parker Nelson 89","parker.nelson89@omniverse689.onmicrosoft.com","Finance"
"Quinn Ortiz 115","quinn.ortiz115@omniverse689.onmicrosoft.com","HR"
"Quinn Ortiz 140","quinn.ortiz140@omniverse689.onmicrosoft.com","Legal"
"Quinn Ortiz 15","quinn.ortiz15@omniverse689.onmicrosoft.com","Engineering"
"Quinn Ortiz 165","quinn.ortiz165@omniverse689.onmicrosoft.com","Marketing"
"Quinn Ortiz 190","quinn.ortiz190@omniverse689.onmicrosoft.com","Operations"
"Quinn Ortiz 40","quinn.ortiz40@omniverse689.onmicrosoft.com","IT"
"Quinn Ortiz 65","quinn.ortiz65@omniverse689.onmicrosoft.com","Security"
"Quinn Ortiz 90","quinn.ortiz90@omniverse689.onmicrosoft.com","Finance"
"Reese Patel 116","reese.patel116@omniverse689.onmicrosoft.com","HR"
"Reese Patel 141","reese.patel141@omniverse689.onmicrosoft.com","Legal"
"Reese Patel 16","reese.patel16@omniverse689.onmicrosoft.com","Engineering"
"Reese Patel 166","reese.patel166@omniverse689.onmicrosoft.com","Marketing"
"Reese Patel 191","reese.patel191@omniverse689.onmicrosoft.com","Operations"
"Reese Patel 41","reese.patel41@omniverse689.onmicrosoft.com","IT"
"Reese Patel 66","reese.patel66@omniverse689.onmicrosoft.com","Security"
"Reese Patel 91","reese.patel91@omniverse689.onmicrosoft.com","Finance"
"Riley Carter","riley.carter@Omniverse689.onmicrosoft.com","Executive"
"Riley Quinn 117","riley.quinn117@omniverse689.onmicrosoft.com","HR"
"Riley Quinn 142","riley.quinn142@omniverse689.onmicrosoft.com","Legal"
"Riley Quinn 167","riley.quinn167@omniverse689.onmicrosoft.com","Marketing"
"Riley Quinn 17","riley.quinn17@omniverse689.onmicrosoft.com","Engineering"
"Riley Quinn 192","riley.quinn192@omniverse689.onmicrosoft.com","Operations"
"Riley Quinn 42","riley.quinn42@omniverse689.onmicrosoft.com","IT"
"Riley Quinn 67","riley.quinn67@omniverse689.onmicrosoft.com","Security"
"Riley Quinn 92","riley.quinn92@omniverse689.onmicrosoft.com","Finance"
"Sage Rivera 118","sage.rivera118@omniverse689.onmicrosoft.com","HR"
"Sage Rivera 143","sage.rivera143@omniverse689.onmicrosoft.com","Legal"
"Sage Rivera 168","sage.rivera168@omniverse689.onmicrosoft.com","Marketing"
"Sage Rivera 18","sage.rivera18@omniverse689.onmicrosoft.com","Engineering"
"Sage Rivera 193","sage.rivera193@omniverse689.onmicrosoft.com","Operations"
"Sage Rivera 43","sage.rivera43@omniverse689.onmicrosoft.com","IT"
"Sage Rivera 68","sage.rivera68@omniverse689.onmicrosoft.com","Security"
"Sage Rivera 93","sage.rivera93@omniverse689.onmicrosoft.com","Finance"
"Skyler Smith 119","skyler.smith119@omniverse689.onmicrosoft.com","HR"
"Skyler Smith 144","skyler.smith144@omniverse689.onmicrosoft.com","Legal"
"Skyler Smith 169","skyler.smith169@omniverse689.onmicrosoft.com","Marketing"
"Skyler Smith 19","skyler.smith19@omniverse689.onmicrosoft.com","Engineering"
"Skyler Smith 194","skyler.smith194@omniverse689.onmicrosoft.com","Operations"
"Skyler Smith 44","skyler.smith44@omniverse689.onmicrosoft.com","IT"
"Skyler Smith 69","skyler.smith69@omniverse689.onmicrosoft.com","Security"
"Skyler Smith 94","skyler.smith94@omniverse689.onmicrosoft.com","Finance"
"Taylor Reed","taylor.reed@Omniverse689.onmicrosoft.com","HR"
"Taylor Torres 120","taylor.torres120@omniverse689.onmicrosoft.com","HR"
"Taylor Torres 145","taylor.torres145@omniverse689.onmicrosoft.com","Legal"
"Taylor Torres 170","taylor.torres170@omniverse689.onmicrosoft.com","Marketing"
"Taylor Torres 195","taylor.torres195@omniverse689.onmicrosoft.com","Operations"
"Taylor Torres 20","taylor.torres20@omniverse689.onmicrosoft.com","Engineering"
"Taylor Torres 45","taylor.torres45@omniverse689.onmicrosoft.com","IT"
"Taylor Torres 70","taylor.torres70@omniverse689.onmicrosoft.com","Security"
"Taylor Torres 95","taylor.torres95@omniverse689.onmicrosoft.com","Finance"
